LITERATURE_0100,"Alice's Adventures in Wonderland ","Lewis Carroll
1865"
LITERATURE_0101,"George Eliot
1871",Middlemarch
LITERATURE_0102,Middlemarch,"George Eliot
1871"
LITERATURE_0103,"Jonathan Swift 
1726",Gulliver's Travels
LITERATURE_0104,Gulliver's Travels,"Jonathan Swift 
1726"
LITERATURE_0105,"Albert Camus
1942",The Stranger
LITERATURE_0106,The Stranger,"Albert Camus
1942"
LITERATURE_0107,"Virgil
30-19 BCE","The Aeneid "
LITERATURE_0108,"The Aeneid ","Virgil
30-19 BCE"
LITERATURE_0109,"Virginia Woolf 
1925",Mrs. Dalloway
LITERATURE_0110,Mrs. Dalloway,"Virginia Woolf 
1925"
LITERATURE_0111,"Voltaire
1759",Candide
LITERATURE_0112,Candide,"Voltaire
1759"
LITERATURE_0113,"Thomas Mann
1924",The Magic Mountain
LITERATURE_0114,The Magic Mountain,"Thomas Mann
1924"
LITERATURE_0115,"Fyodor Dostoyevsky
1880",The Brothers Karamazov
LITERATURE_0116,The Brothers Karamazov,"Fyodor Dostoyevsky
1880"
LITERATURE_0117,"William Faulkner 
1936","Absalom, Absalom"
LITERATURE_0118,"Absalom, Absalom","William Faulkner 
1936"
LITERATURE_0119,"Walt Whitman
1855",Leaves of Grass
LITERATURE_0120,Leaves of Grass,"Walt Whitman
1855"
LITERATURE_0121,"David Foster Wallace
1996",Infinite Jest
LITERATURE_0122,Infinite Jest,"David Foster Wallace
1996"
LITERATURE_0123,"Samuel Beckett
1978",Waiting for Godot
LITERATURE_0124,Waiting for Godot,"Samuel Beckett
1978"
LITERATURE_0125,"D.H. Lawrence 
1928",Lady Chatterley's Lover
LITERATURE_0126,Lady Chatterley's Lover,"D.H. Lawrence 
1928"
LITERATURE_0127,"Agatha Christie 
1939",And Then There Were None
LITERATURE_0128,And Then There Were None,"Agatha Christie 
1939"
LITERATURE_0129,"Ivan Turgenev
1862",Fathers and Sons
LITERATURE_0130,Fathers and Sons,"Ivan Turgenev
1862"
LITERATURE_0131,"Anton Chekov
1904",The Cherry Orchard
LITERATURE_0132,The Cherry Orchard,"Anton Chekov
1904"
LITERATURE_0133,"Margaret Mitchell 
1936",Gone with the Wind
LITERATURE_0134,Gone with the Wind,"Margaret Mitchell 
1936"
LITERATURE_0135,"John Updike
1960","Rabbit, Run"
LITERATURE_0136,"Rabbit, Run","John Updike
1960"
LITERATURE_0137,"Johann Wolfgang von Goethe
1831",Faust
LITERATURE_0138,Faust,"Johann Wolfgang von Goethe
1831"
LITERATURE_0139,"Mark Twain
1884",The Adventures of Huckleberry Finn
LITERATURE_0140,The Adventures of Huckleberry Finn,"Mark Twain
1884"
LITERATURE_0141,"Toni Morrison
1987",Beloved
LITERATURE_0142,Beloved,"Toni Morrison
1987"
LITERATURE_0143,"Franz Kafka 
1925",The Trial
LITERATURE_0144,The Trial,"Franz Kafka 
1925"
LITERATURE_0145,"Chinua Achebe
1958",Things Fall Apart
LITERATURE_0146,Things Fall Apart,"Chinua Achebe
1958"
LITERATURE_0147,"Thomas Pynchon
1973",Gravity's Rainbow
LITERATURE_0148,Gravity's Rainbow,"Thomas Pynchon
1973"
LITERATURE_0149,"Ernest Hemingway 
1940",For Whom the Bell Tolls
LITERATURE_0150,For Whom the Bell Tolls,"Ernest Hemingway 
1940"
LITERATURE_0151,"Gustave Flaubert
1856",Madame Bovary
LITERATURE_0152,Madame Bovary,"Gustave Flaubert
1856"
LITERATURE_0153,"Dante Alighieri
1320",The Divine Comedy
LITERATURE_0154,The Divine Comedy,"Dante Alighieri
1320"
LITERATURE_0155,"Harper Lee
1960","To Kill a Mockingbird "
LITERATURE_0156,"To Kill a Mockingbird ","Harper Lee
1960"
LITERATURE_0157,"Charles Dickens
1850","David Copperfield "
LITERATURE_0158,"David Copperfield ","Charles Dickens
1850"
LITERATURE_0159,"Alice Walker
1982",The Color Purple
LITERATURE_0160,The Color Purple,"Alice Walker
1982"
LITERATURE_0161,"Charles Dickens
1861","Great Expectations "
LITERATURE_0162,"Great Expectations ","Charles Dickens
1861"
LITERATURE_0163,"William Faulkner 
1932",Light in August
LITERATURE_0164,Light in August,"William Faulkner 
1932"
LITERATURE_0165,"Johann Wolfgang von Goethe
1774",The Sorrows of Young Werther
LITERATURE_0166,The Sorrows of Young Werther,"Johann Wolfgang von Goethe
1774"
LITERATURE_0167,"John Bunyan
1678","The Pilgrim's Progress "
LITERATURE_0168,"The Pilgrim's Progress ","John Bunyan
1678"
LITERATURE_0169,"Homer 
800 BCE",The Odyssey
LITERATURE_0170,The Odyssey,"Homer 
800 BCE"
LITERATURE_0171,"Salman Rushdie
1988",The Satanic Verses
LITERATURE_0172,The Satanic Verses,"Salman Rushdie
1988"
LITERATURE_0173,"Ayn Rand
1957",Atlas Shrugged
LITERATURE_0174,Atlas Shrugged,"Ayn Rand
1957"
LITERATURE_0175,"Ayn Rand
1943",The Fountainhead
LITERATURE_0176,The Fountainhead,"Ayn Rand
1943"
LITERATURE_0177,"Gabriel Garcia Marquez
1985",Love in the Time of Cholera
LITERATURE_0178,Love in the Time of Cholera,"Gabriel Garcia Marquez
1985"
LITERATURE_0179,"Isabel Allende
1982",The House of the Spirits
LITERATURE_0180,The House of the Spirits,"Isabel Allende
1982"
LITERATURE_0181,"Charles Dickens
1859",A Tale of Two Cities
