US_CITY_POPULATIONS_0077,"North Carolina
940,000
Most Populous",Charlotte
US_CITY_POPULATIONS_0078,Charlotte,"North Carolina
940,000
Most Populous"
US_CITY_POPULATIONS_0079,"North Dakota
130,000
Most Populous","Fargo "
US_CITY_POPULATIONS_0080,"Fargo ","North Dakota
130,000
Most Populous"
US_CITY_POPULATIONS_0081,"Northern Mariana Islands
48,000
Most Populous + Capital",Saipan
US_CITY_POPULATIONS_0082,Saipan,"Northern Mariana Islands
48,000
Most Populous + Capital"
US_CITY_POPULATIONS_0083,"Tennessee
690,000
Most Populous + Capital",Nashville
US_CITY_POPULATIONS_0084,Nashville,"Tennessee
690,000
Most Populous + Capital"
US_CITY_POPULATIONS_0085,"Virgin Islands (U.S.)
18,000
Most Populous + Capital",Charlotte Amalie
US_CITY_POPULATIONS_0086,Charlotte Amalie,"Virgin Islands (U.S.)
18,000
Most Populous + Capital"
US_CITY_POPULATIONS_0087,"Virginia
450,000
Most Populous","Virginia Beach "
US_CITY_POPULATIONS_0088,"Virginia Beach ","Virginia
450,000
Most Populous"
US_CITY_POPULATIONS_0089,"Washington
780,000
Most Populous",Seattle
US_CITY_POPULATIONS_0090,Seattle,"Washington
780,000
Most Populous"
US_CITY_POPULATIONS_0091,"West Virginia
50,000
Most Populous + Capital",Charleston (Smaller)
US_CITY_POPULATIONS_0092,Charleston (Smaller),"West Virginia
50,000
Most Populous + Capital"
US_CITY_POPULATIONS_0093,"Alabama
215,000
Most Populous","Huntsville "
US_CITY_POPULATIONS_0094,"Huntsville ","Alabama
215,000
Most Populous"
US_CITY_POPULATIONS_0095,"American Samoa
8,000 
Most Populous",Tafuna
US_CITY_POPULATIONS_0096,Tafuna,"American Samoa
8,000 
Most Populous"
US_CITY_POPULATIONS_0097,"Connecticut
150,000
Most Populous","Bridgeport "
US_CITY_POPULATIONS_0098,"Bridgeport ","Connecticut
150,000
Most Populous"
US_CITY_POPULATIONS_0099,"Florida
990,000
Most Populous",Jacksonville
US_CITY_POPULATIONS_0100,Jacksonville,"Florida
990,000
Most Populous"
US_CITY_POPULATIONS_0101,"Iowa
210,000
Most Populous + Capital",Des Moines
US_CITY_POPULATIONS_0102,Des Moines,"Iowa
210,000
Most Populous + Capital"
US_CITY_POPULATIONS_0103,"Michigan
620,000
Most Populous",Detroit
US_CITY_POPULATIONS_0104,Detroit,"Michigan
620,000
Most Populous"
US_CITY_POPULATIONS_0105,"Mississippi
150,000
Most Populous + Capital",Jackson
US_CITY_POPULATIONS_0106,Jackson,"Mississippi
150,000
Most Populous + Capital"
US_CITY_POPULATIONS_0107,"Montana
120,000
Most Populous",Billings
US_CITY_POPULATIONS_0108,Billings,"Montana
120,000
Most Populous"
US_CITY_POPULATIONS_0109,"Oregon
630,000
Most Populous",Portland (Larger)
US_CITY_POPULATIONS_0110,Portland (Larger),"Oregon
630,000
Most Populous"
US_CITY_POPULATIONS_0111,"Utah
200,000
Most Populous + Capital",Salt Lake City
US_CITY_POPULATIONS_0112,Salt Lake City,"Utah
200,000
Most Populous + Capital"
US_CITY_POPULATIONS_0113,"Alaska 
30,000
Capital",Juneau
US_CITY_POPULATIONS_0114,Juneau,"Alaska 
30,000
Capital"
US_CITY_POPULATIONS_0115,"California
520,000
Capital","Sacramento "
US_CITY_POPULATIONS_0116,"Sacramento ","California
520,000
Capital"
US_CITY_POPULATIONS_0117,"Connecticut 
120,000
Capital",Hartford
US_CITY_POPULATIONS_0118,Hartford,"Connecticut 
120,000
Capital"
US_CITY_POPULATIONS_0119,"Delaware 
40,000
Capital",Dover
US_CITY_POPULATIONS_0120,Dover,"Delaware 
40,000
Capital"
US_CITY_POPULATIONS_0121,"Florida
200,000
Capital",Tallahassee
US_CITY_POPULATIONS_0122,Tallahassee,"Florida
200,000
Capital"
US_CITY_POPULATIONS_0123,"Illinois
110,000
Capital",Springfield
US_CITY_POPULATIONS_0124,Springfield,"Illinois
110,000
Capital"
US_CITY_POPULATIONS_0125,"Kansas
130,000
Capital",Topeka
US_CITY_POPULATIONS_0126,Topeka,"Kansas
130,000
Capital"
US_CITY_POPULATIONS_0127,"Kentucky
30,000
Capital",Frankfort
US_CITY_POPULATIONS_0128,Frankfort,"Kentucky
30,000
Capital"
US_CITY_POPULATIONS_0129,"Louisiana
230,000
Capital","Baton Rouge "
US_CITY_POPULATIONS_0130,"Baton Rouge ","Louisiana
230,000
Capital"
US_CITY_POPULATIONS_0131,"Maine
20,000
Capital","Augusta "
US_CITY_POPULATIONS_0132,"Augusta ","Maine
20,000
Capital"
US_CITY_POPULATIONS_0133,"Maryland
40,000
Capital","Annapolis "
US_CITY_POPULATIONS_0134,"Annapolis ","Maryland
40,000
Capital"
US_CITY_POPULATIONS_0135,"Michigan
110,000
Capital",Lansing
US_CITY_POPULATIONS_0136,Lansing,"Michigan
110,000
Capital"
US_CITY_POPULATIONS_0137,"Minnesota
310,000
Capital",Saint Paul
US_CITY_POPULATIONS_0138,Saint Paul,"Minnesota
310,000
Capital"
US_CITY_POPULATIONS_0139,"Missouri
40,000
Capital",Jefferson City
US_CITY_POPULATIONS_0140,Jefferson City,"Missouri
40,000
Capital"
US_CITY_POPULATIONS_0141,"Montana
30,000
Capital",Helena
US_CITY_POPULATIONS_0142,Helena,"Montana
30,000
Capital"
US_CITY_POPULATIONS_0143,"Nebraska
290,000
Capital",Lincoln
