US_STATE_TERRITORY_CAPITALS_0095,Connecticut,Hartford
US_STATE_TERRITORY_CAPITALS_0096,Hartford,Connecticut
US_STATE_TERRITORY_CAPITALS_0097,Pennsylvania,Harrisburg
US_STATE_TERRITORY_CAPITALS_0098,Harrisburg,Pennsylvania
US_STATE_TERRITORY_CAPITALS_0099,Kentucky,Frankfort
US_STATE_TERRITORY_CAPITALS_0100,Frankfort,Kentucky
US_STATE_TERRITORY_CAPITALS_0101,Puerto Rico,San Juan
US_STATE_TERRITORY_CAPITALS_0102,San Juan,Puerto Rico
US_STATE_TERRITORY_CAPITALS_0103,Guam,Hagatna
US_STATE_TERRITORY_CAPITALS_0104,Hagatna,Guam
US_STATE_TERRITORY_CAPITALS_0105,American Samoa,Pago Pago
US_STATE_TERRITORY_CAPITALS_0106,Pago Pago,American Samoa
US_STATE_TERRITORY_CAPITALS_0107,Northern Mariana Islands ,Saipan
US_STATE_TERRITORY_CAPITALS_0108,Saipan,Northern Mariana Islands 
US_STATE_TERRITORY_CAPITALS_0109,U.S. Virgin Islands ,Charlotte Amalie
US_STATE_TERRITORY_CAPITALS_0110,Charlotte Amalie,U.S. Virgin Islands 
