"2001 (2000-2001 Season)
Defeated the Philadelphia 76ers","Los Angeles Lakers (13/17)
MVP: Shaquille O'Neal (2/3)"
"Los Angeles Lakers (13/17)
MVP: Shaquille O'Neal (2/3)","2001 (2000-2001 Season)
Defeated the Philadelphia 76ers"
"2000 (1999-2000 Season)
Defeated the Indians Pacers","Los Angeles Lakers (12/17)
MVP: Shaquille O'Neal (1/3)"
"Los Angeles Lakers (12/17)
MVP: Shaquille O'Neal (1/3)","2000 (1999-2000 Season)
Defeated the Indians Pacers"
"2025 (2024-2025 Season)
Defeated the Indiana Pacers","Oklahoma City Thunder (2/2)
MVP: Shai Gilgeous-Alexander"
"Oklahoma City Thunder (2/2)
MVP: Shai Gilgeous-Alexander","2025 (2024-2025 Season)
Defeated the Indiana Pacers"
"1999 (1998-1999 Season)
Defeated the New York Knicks","San Antonio Spurs (1/5)
MVP: Tim Duncan (1/3)"
"San Antonio Spurs (1/5)
MVP: Tim Duncan (1/3)","1999 (1998-1999 Season)
Defeated the New York Knicks"
"1998 (1997-1998 Season)
Defeated the Utah Jazz","Chicago Bulls (6/6)
MVP: Michael Jordan (6/6)"
"Chicago Bulls (6/6)
MVP: Michael Jordan (6/6)","1998 (1997-1998 Season)
Defeated the Utah Jazz"
"1997 (1996-1997 Season)
Defeated the Utah Jazz","Chicago Bulls (5/6)
MVP: Michael Jordan (5/6)"
"Chicago Bulls (5/6)
MVP: Michael Jordan (5/6)","1997 (1996-1997 Season)
Defeated the Utah Jazz"
"1996 (1995-1996 Season)
Defeated the Seattle SuperSonics","Chicago Bulls (4/6)
MVP: Michael Jordan (4/6)"
"Chicago Bulls (4/6)
MVP: Michael Jordan (4/6)","1996 (1995-1996 Season)
Defeated the Seattle SuperSonics"
"1995 (1994-1995 Season)
Defeated the Orlando Magic","Houston Rockets (2/2)
MVP: Hakeem Olajuwon (2/2)"
"Houston Rockets (2/2)
MVP: Hakeem Olajuwon (2/2)","1995 (1994-1995 Season)
Defeated the Orlando Magic"
"1994 (1993-1994 Season)
Defeated the New York Knicks","Houston Rockets (1/2)
MVP: Hakeem Olajuwon (1/2)"
"Houston Rockets (1/2)
MVP: Hakeem Olajuwon (1/2)","1994 (1993-1994 Season)
Defeated the New York Knicks"
"1993 (1992-1993 Season)
Defeated the Phoenix Suns","Chicago Bulls (3/6)
MVP: Michael Jordan (3/6)"
"Chicago Bulls (3/6)
MVP: Michael Jordan (3/6)","1993 (1992-1993 Season)
Defeated the Phoenix Suns"
"1992 (1991-1992 Season)
Defeated the Portland Trail Blazers","Chicago Bulls (2/6)
MVP: Michael Jordan (2/6)"
"Chicago Bulls (2/6)
MVP: Michael Jordan (2/6)","1992 (1991-1992 Season)
Defeated the Portland Trail Blazers"
"1991 (1990-1991 Season)
Defeated the Los Angeles Lakers","Chicago Bulls (1/6)
MVP: Michael Jordan (1/6)"
"Chicago Bulls (1/6)
MVP: Michael Jordan (1/6)","1991 (1990-1991 Season)
Defeated the Los Angeles Lakers"
"2026 (2025-2026 Season)
Defeated the San Antonio Spurs","New York Knicks (3/3)
MVP: Jalen Brunson"
"New York Knicks (3/3)
MVP: Jalen Brunson","2026 (2025-2026 Season)
Defeated the San Antonio Spurs"
